seq;Order;Family;IOC_15.2;English;Catalan;Chinese;Chinese (Traditional);Croatian;Czech;Danish;Dutch;Esperanto;Finnish;French;German;Italian;Japanese;Lithuanian;Norwegian;Polish;Portuguese (Lusophone);Portuguese (Portuguese);Russian;Serbian;Slovak;Spanish;Swedish;Turkish;Ukrainian;Afrikaans;Arabic;Belarusian;Bulgarian;Estonian;French (Gaudin);Greek;Hebrew;Hungarian;Icelandic;Indonesian;Korean;Latvian;Macedonian;Malayalam;Northern Sami;Persian;Romanian;Slovenian;Thai
10869;PASSERIFORMES;Thraupidae;Cyanerpes cyaneus;Red-legged Honeycreeper;tàngara melera cama-roja;红脚旋蜜雀;紅腳旋蜜雀;crvenonoga tangara;květomil modrý;Rødbenet Honningsuger;Blauwe Suikervogel;ruĝkrura mieltangaro;isomesitangara;Guit-guit saï;Türkisnaschvogel;Mielero zamperosse;ルリミツドリ;raudonkojė tanagra medsiurbė;rødbeinhonningkryper;błękitniczek czerwononogi;saíra-beija-flor;dácnis-meleiro-de-patas-vermelhas;Красноногий саи;Crvenonogi medni puzić;medosavka tyrkysová;Mielerito patirrojo;rödbent nektarkrypare;Kırmızı Bacaklı Balkuşu;танагра-медоїд бірюзова;;;;;punajalg-türkiistangara;Guit-guit saï;;;kék cize;;;;;;;;;;;
10870;PASSERIFORMES;Thraupidae;Cyanerpes nitidus;Short-billed Honeycreeper;tàngara melera de bec curt;短嘴旋蜜雀;短嘴旋蜜雀;ružičastonoga tangara;květomil krátkozobý;Kortnæbbet Honningsuger;Kortsnavelsuikervogel;kurtbeka mieltangaro;pikkumesitangara;Guit-guit à bec court;Kurzschnabel-Naschvogel;Mielero beccocorto;コバシルリミツドリ;trumpasnapė tanagra medsiurbė;dverghonningkryper;błękitniczek krótkodzioby;saí-de-bico-curto;dácnis-meleiro-de-bico-curto;Короткоклювый саи;Kratkokljuni medni puzić;medosavka krátkozobá;Mielerito piquicorto;kortnäbbad nektarkrypare;Kısa Gagalı Balkuşu;танагра-медоїд короткодзьоба;;;;;väike-türkiistangara;Guit-guit à bec court;;;;;;;;;;;;;;
10871;PASSERIFORMES;Thraupidae;Cyanerpes lucidus;Shining Honeycreeper;tàngara melera lluent;辉旋蜜雀;輝旋蜜雀;žutonoga tangara;květomil azurový;Gulbenet Honningsuger;Geelpootsuikervogel;flavkrura mieltangaro;säihkymesitangara;Guit-guit brillant;Azurnaschvogel;Mielero splendente;アオミツドリ;blizgioji tanagra medsiurbė;gulbeinhonningkryper;błękitniczek lśniący;saí-reluzente;dácnis-meleiro-reluzente;Желтоногий саи;Sjajni medni puzić;medosavka jagavá;Mielerito reluciente;gulbent nektarkrypare;Işıldayan Balkuşu;танагра-медоїд лазурова;;;;;kariibi türkiistangara;Guit-guit brillant;;;;;;;;;;;;;;
10872;PASSERIFORMES;Thraupidae;Dacnis berlepschi;Scarlet-breasted Dacnis;dacnis de pit vermell;红胸锥嘴雀;朱胸錐嘴雀;plamenoprsa tangara;pitpit červenoprsý;Trefarvet Sukkerfugl;Roodborstpitpit;ruĝbrusta dakno;punavyötangara;Dacnis à poitrine rouge;Rotbrustpitpit;Dacne pettoscarlatto;ムネアカヒワミツドリ;raudonkrūtis daknis;rødbrystdaknis;cukrownik strojny;saí-peito-de-fogo;dácnis-de-peito-escarlate;Красногрудый дакнис;Crvenogrudi daknis;pitpit červenoprsý;Dacnis pechirrojo;trefärgad daknis;Kızıl Karınlı Daknis;цукрист червоногрудий;;;;;;Dacnis à poitrine rouge;;;;;;;;;;;;;;
10873;PASSERIFORMES;Thraupidae;Dacnis venusta;Scarlet-thighed Dacnis;dacnis de cuixes roges;红腿锥嘴雀;紅腿錐嘴雀;tirkiznoglava tangara;pitpit červenonohý;Sortbuget Sukkerfugl;Rooddijpitpit;ruĝfemura dakno;säihkykerttulitangara;Dacnis à cuisses rouges;Rotschenkelpitpit;Dacne zampescarlatte;モモアカヒワミツドリ;raudonšlaunis daknis;rødleggdaknis;cukrownik modrolicy;saí-de-calças-vermelhas;dácnis-de-coxas-vermelhas;Краснобёдрый дакнис;Crnotrbi daknis;pitpit čiernobruchý;Dacnis muslirrojo;svartbukig daknis;Kırmızı Paçalı Daknis;цукрист синьощокий;;;;;;Dacnis à cuisses rouges;;;;;;;;;;;;;;
10874;PASSERIFORMES;Thraupidae;Dacnis cayana;Blue Dacnis;dacnis blau;蓝锥嘴雀;藍錐嘴雀;plava tangara;pitpit modrý;Blå Sukkerfugl;Blauwe Pitpit;blua dakno;kerttulitangara;Dacnis bleu;Blaukopfpitpit;Dacne azzurra;ヒワミツドリ;mėlynasis daknis;blådaknis;cukrownik niebieski;saí-azul;dácnis-azul;Синий дакнис;Plavi daknis;pitpit modrý;Dacnis azul;blådaknis;Mavi Daknis;цукрист блакитний;;;;;;Dacnis bleu;;;közönéges pitpit;;;;;;;;;;;
10875;PASSERIFORMES;Thraupidae;Dacnis flaviventer;Yellow-bellied Dacnis;dacnis groc;黄腹锥嘴雀;黃腹錐嘴雀;zelenokapa tangara;pitpit žlutobřichý;Gul Sukkerfugl;Geelbuikpitpit;flavaventra dakno;rikkitangara;Dacnis à ventre jaune;Gelbbauchpitpit;Dacne panciagialla;キバラヒワミツドリ;geltonpilvis daknis;gulbukdaknis;cukrownik żółtobrzuchy;saí-amarelo;dácnis-de-barriga-amarela;Желтобрюхий дакнис;Žuti maskirani daknis;pitpit žltobruchý;Dacnis ventriamarillo;gulbukig daknis;Sarı Karınlı Daknis;цукрист жовточеревий;;;;;;Dacnis à ventre jaune;;;;;;;;;;;;;;
10876;PASSERIFORMES;Thraupidae;Dacnis hartlaubi;Turquoise Dacnis;dacnis de Hartlaub;青绿锥嘴雀;青綠錐嘴雀;žutooka tangara;pitpit tyrkysový;Sorthaget Sukkerfugl;Turkooispitpit;turkisa dakno;kolumbiankerttulitangara;Dacnis de Hartlaub;Türkispitpit;Tanagra dacne turchese;ハシブトヒワミツドリ;netikrasis daknis;turkisdaknis;cukrownik turkusowy;saí-turquesa;dácnis-turquesa;Бирюзовый дакнис;Planinski maskirani daknis;pitpit tyrkysový;Dacnis turquesa;turkosdaknis;Turkuaz Daknis;цукрист бірюзовий;;;;;;Dacnis de Hartlaub;;;;;;;;;;;;;;
10877;PASSERIFORMES;Thraupidae;Dacnis lineata;Black-faced Dacnis;dacnis de coroneta blava;黑脸锥嘴雀;黑臉錐嘴雀;tirkiznoboka tangara;pitpit škraboškový;Turkissukkerfugl;Zwartmaskerpitpit;nigramaska dakno;naamiotangara;Dacnis à coiffe bleue;Maskenpitpit;Dacne faccianera;カオグロヒワミツドリ;kaukėtasis daknis;maskedaknis;cukrownik modrołbisty;saí-de-máscara-preta;dácnis-de-faces-pretas;Масковый дакнис;Ravničarski maskirani daknis;pitpit maskový;Dacnis carinegro;svartmaskad daknis;Kara Kulaklı Daknis;цукрист масковий;;;;;;Dacnis à coiffe bleue;;;;;;;;;;;;;;
10878;PASSERIFORMES;Thraupidae;Dacnis egregia;Yellow-tufted Dacnis;dacnis d'espatlles grogues;黄肩锥嘴雀;黃簇錐嘴雀;žutoramena tangara;;Gulbuget Sukkerfugl;Geelpluimpitpit;flavtufa dakno;;Dacnis à plumets jaunes;Gelbsteißpitpit;;キバネヒワミツドリ;;gulduskdaknis;cukrownik maskowy;saí-de-flancos-amarelos;dácnis-d'ombros-amarelos;Желтоплечий дакнис;;pitpit žltooký;Dacnis egregio;gultofsad daknis;;цукрист жовтоплечий;;;;;;Dacnis à plumets jaunes;;;;;;;;;;;;;;
10879;PASSERIFORMES;Thraupidae;Dacnis viguieri;Viridian Dacnis;dacnis verdós;翠绿锥嘴雀;翠綠錐嘴雀;azurna tangara;pitpit panamský;Blågrøn Sukkerfugl;Blauwgroene Pitpit;verda dakno;turkoosikerttulitangara;Dacnis vert;Grünflügelpitpit;Dacne verde;セグロヒワミツドリ;panaminis daknis;berylldaknis;cukrownik seledynowy;saí-esverdeado;dácnis-esverdeado;Панамский дакнис;Tirkizni daknis;pitpit zelený;Dacnis verdoso;blågrön daknis;Yeşil Kanatlı Daknis;цукрист панамський;;;;;;Dacnis vert;;;;;;;;;;;;;;
10880;PASSERIFORMES;Thraupidae;Dacnis nigripes;Black-legged Dacnis;dacnis camanegre;黑腿锥嘴雀;黑腿錐嘴雀;tirkizno-crna tangara;pitpit černonohý;Rio Sukkerfugl;Zwartpootpitpit;nigrakrura dakno;brasiliankerttulitangara;Dacnis à pattes noires;Blauflügelpitpit;Dacne zampenere;アシグロヒワミツドリ;juodakojis daknis;svartbeindaknis;cukrownik czarnobrody;saí-de-pernas-pretas;dácnis-de-patas-pretas;Черноногий дакнис;Crnonogi daknis;pitpit čiernonohý;Dacnis patinegro;svartbent daknis;Kara Bacaklı Daknis;цукрист бразильський;;;;;;Dacnis à pattes noires;;;feketelábú daknisz;;;;;;;;;;;
10881;PASSERIFORMES;Thraupidae;Dacnis albiventris;White-bellied Dacnis;dacnis de ventre blanc;白腹锥嘴雀;白腹錐嘴雀;bjelotrba tangara;pitpit bělobřichý;Hvidbuget Sukkerfugl;Witbuikpitpit;blankventra dakno;kobolttikerttulitangara;Dacnis à ventre blanc;Weißbauchpitpit;Dacne panciabianca;シロハラヒワミツドリ;baltapilvis daknis;hvitbukdaknis;cukrownik białobrzuchy;saí-de-barriga-branca;dácnis-de-barriga-branca;Белобрюхий дакнис;Belotrbi daknis;pitpit bielobruchý;Dacnis ventriblanco;vitbukig daknis;Ak Karınlı Daknis;цукрист білочеревий;;;;;;Dacnis à ventre blanc;;;;;;;;;;;;;;
10882;PASSERIFORMES;Thraupidae;Saltatricula multicolor;Many-colored Chaco Finch;saltatrícula;彩雀;多彩查科雀;šareni sjemenar;temenáček mnohobarvý;Chacofinke;Veelkleurige Chacogors;ĉaka saltatoro;kirjosirkku;Saltator du Chaco;Chacosaltator;Fringuello multicolore;オナガシトド;čakas;chacotanagar;ziarnołusk wspaniały;batuqueiro-chaquenho;saltador-do-chaco;Разноцветный сальтатор;Višebojna čakoanska zeba;tanečník pestrý;Pepitero chico;chacosaltator;Çok Renkli Çako İspinozu;чако;;;;;;Saltator du Chaco;;;;;;;;;;;;;;
10883;PASSERIFORMES;Thraupidae;Saltatricula atricollis;Black-throated Saltator;dansaire bru;黑喉舞雀;黑喉舞雀;smeđokapi sjemenar;saltator černokrký;Sortstrubet Saltator;Zwartkeelsaltator;nigragorĝa saltatoro;mustakurkkukardinaali;Saltator à gorge noire;Schwarzhalssaltator;Saltatore golanera;ノドグロイカル;juodagurklis saltatorius;svartstrupesaltator;ziarnołusk okopcony;batuqueiro-de-bico-laranja;saltador-de-pescoço-preto;Черногорлый сальтатор;Crnoliki saltator;tanečník čiernohrdlý;Pepitero gorjinegro;svartstrupig saltator;Kara Gerdanlı Saltator;зернолуск чорногорлий;;;;;;Saltator à gorge noire;;;feketenyakú szaltator;;;;;;;;;;;
10884;PASSERIFORMES;Thraupidae;Saltator orenocensis;Orinoco Saltator;dansaire de l'Orinoco;白眉舞雀;黑臉白眉舞雀;sivoleđi sjemenar;saltator orinocký;Orinoco Saltator;Orinocosaltator;orinoka saltatoro;orinoconkardinaali;Saltator de l’Orénoque;Zimtflankensaltator;Saltatore dell'Orinoco;ホオグロイカル;orinokinis saltatorius;orinocosaltator;ziarnołusk rdzawoboczny;batuqueiro-do-orinoco;saltador-do-orinoco;Оринокский сальтатор;Saltator sa Orinoka;tanečník orinocký;Pepitero del Orinoco;orinocosaltator;Orinoko Saltatoru;зернолуск рудобокий;;;;;;Saltator de l'Orénoque;;;fahéjszínszárnyú szaltator;;;;;;;;;;;
10885;PASSERIFORMES;Thraupidae;Saltator similis;Green-winged Saltator;dansaire d'ales verdes;绿翅舞雀;綠翅舞雀;sivoglavi sjemenar;saltator zelenokřídlý;Grønvinget Saltator;Groenvleugelsaltator;verdaflugila saltatoro;vihersiipikardinaali;Saltator olive;Grünschwingensaltator;Saltatore aliverdi;オリーブイカル;žaliasparnis saltatorius;grønnvingesaltator;ziarnołusk zielonawy;trinca-ferro-de-asa-verde;saltador-d'asa-verde;Зеленокрылый сальтатор;Zelenokrili saltator;tanečník zelenokrídly;Pepitero verdoso;grönvingad saltator;Yeşil Kanatlı Saltator;зернолуск зеленокрилий;;;;;;Saltator olive;;;zöldszárnyú szaltator;;;;;;;;;;;
10886;PASSERIFORMES;Thraupidae;Saltator grandis;Cinnamon-bellied Saltator;;棕腹灰背舞雀;;bjelobradi sjemenar;;Grå Saltator;Noordelijke Grijze Saltator;cinamventra saltatoro;;Saltator du Mexique;Zimtbauchsaltator;;;;kanelbuksaltator;ziarnołusk śniady;trinca-ferro-acanelado;saltador-de-barriga-canela;;Cimetasti saltator;tanečník stredoamerický;Pepitero grisáceo norteño;kanelbukig saltator;Kuzeyli kurşuni Saltator;зернолуск бурогузий;;;;;;Saltator du Mexique;;;;;;;;;;;;;;
10887;PASSERIFORMES;Thraupidae;Saltator olivascens;Olive-grey Saltator;;暗绿舞雀;;olovastokrili sjemenar;;Guyana Saltator;Caribische Grijze Saltator;oliveca saltatoro;;Saltator de Cabanis;Karibiksaltator;;;;grønnstenksaltator;ziarnołusk oliwkowy;trinca-ferro-da-guiana;saltador-oliváceo;;Karipski saltator;tanečník popolavý;Pepitero grisáceo del Caribe;olivgrå saltator;Kurşuni Saltator;зернолуск оливковий;;;;;;Saltator de Cabanis;;;;;;;;;;;;;;
10888;PASSERIFORMES;Thraupidae;Saltator coerulescens;Bluish-grey Saltator;dansaire gris;灰背舞雀;灰背舞雀;čađastoleđi sjemenar;saltator šedivý;Grå Saltator;Amazonische Grijze Saltator;blugriza saltatoro;harmaakardinaali;Saltator gris;Grausaltator;Saltatore grigiastro;ハイイロイカル;pilkasis saltatorius;gråsaltator;ziarnołusk szary;trinca-ferro-gongá;saltador-cinzento;Серый сальтатор;Amazonski saltator;tanečník sivý;Pepitero grisáceo del Amazonas;blågrå saltator;Mavi-gri Saltator;зернолуск сірий;;;;;;Saltator gris;;;szürke szaltator;;;;;;;;;;;
10889;PASSERIFORMES;Thraupidae;Saltator striatipectus;Streaked Saltator;dansaire estriat;斑纹舞雀;紋腹舞雀;prugastoprsi sjemenar;saltator žíhaný;Stribet Saltator;Gestreepte Saltator;stria saltatoro;oliivikardinaali;Saltator strié;Strichelsaltator;Saltatore striato;ムナフイカル;;krattsaltator;ziarnołusk kreskowany;bicudo-listrado;saltador-listado;Пёстрый сальтатор;Prugasti saltator;tanečník plodožravý;Pepitero listado;strimsaltator;Çizgili Saltator;зернолуск смугастоволий;;;;;;Saltator strié;;;;;;;;;;;;;;
10890;PASSERIFORMES;Thraupidae;Saltator albicollis;Lesser Antillean Saltator;dansaire de les Petites Antilles;小安第斯舞雀;小安地列斯舞雀;maslinastozeleni sjemenar;saltator bělohrdlý;Antilsaltator;Antillensaltator;etantila saltatoro;viirukardinaali;Saltator gros-bec;Antillensaltator;Saltatore delle Piccole Antille;アンチルムナフイカル;dryžasis saltatorius;antillsaltator;ziarnołusk białobrewy;bicudo-das-antillhas;saltador-das-antilhas;Белогорлый сальтатор;Saltator sa Malih Antila;tanečník antilský;Pepitero antillano;antillersaltator;Karayip Saltatoru;зернолуск антильський;;;;;;Saltator gros-bec;;;fehérfejű szaltator;;;;;;;;;;;
10891;PASSERIFORMES;Thraupidae;Saltator maximus;Buff-throated Saltator;dansaire de gola canyella;黄喉舞雀;黃喉舞雀;sivolici sjemenar;saltator velký;Brunstrubet Saltator;Bontkeelsaltator;cinamgorĝa saltatoro;viherkardinaali;Saltator des grands-bois;Buntkehlsaltator;Saltatore golacamoscio;マミジロイカル;didysis saltatorius;brunstrupesaltator;ziarnołusk płowogardły;tempera-viola;saltador-de-garganta-fulva;Большой сальтатор;Riđogrli zeleni saltator;tanečník pestrohrdlý;Pepitero gorjicanelo;beigestrupig saltator;Büyük Saltator;зернолуск великий;;;;;;Saltator des grands-bois;;;fakó szaltator;;;;;;;;;;;
10892;PASSERIFORMES;Thraupidae;Saltator atripennis;Black-winged Saltator;dansaire d'ales negres;黑翅舞雀;黑翅舞雀;crnokrili sjemenar;saltator černokřídlý;Sortvinget Saltator;Zwartvleugelsaltator;nigraflugila saltatoro;mustasiipikardinaali;Saltator à ailes noires;Schwarzschwingensaltator;Saltatore alinere;ハグロイカル;juodasparnis saltatorius;svartvingesaltator;ziarnołusk czarnoskrzydły;bicudo-de-asa-preta;saltador-d'asa-preta;Чернокрылый сальтатор;Crnokrili saltator;tanečník čiernokrídly;Pepitero alinegro;svartvingad saltator;Kara Kanatlı Saltator;зернолуск чорнокрилий;;;;;;Saltator à ailes noires;;;feketeszárnyú szaltator;;;;;;;;;;;
10893;PASSERIFORMES;Thraupidae;Saltator atriceps;Black-headed Saltator;dansaire capnegre;黑头舞雀;黑頭舞雀;čađastokapi sjemenar;saltator černočapkový;Sorthovedet Saltator;Zwartkopsaltator;nigrakapa saltatoro;maiskuttajakardinaali;Saltator à tête noire;Schwarzscheitelsaltator;Saltatore testanera;ズグロイカル;juodagalvis saltatorius;storsaltator;ziarnołusk ciemnogłowy;bicudo-de-cabeça-preta;saltador-de-cabeça-preta;Черноголовый сальтатор;Crnoglavi zeleni saltator;tanečník tmavohlavý;Pepitero cabecinegro;svartkronad saltator;Kara Başlı Saltator;зернолуск чорноголовий;;;;;;Saltator à tête noire;;;feketesapkás szaltator;;;;;;;;;;;
10894;PASSERIFORMES;Thraupidae;Saltator nigriceps;Black-cowled Saltator;dansaire encaputxat;黑巾舞雀;黑冠舞雀;narančastokljuni sjemenar;saltator horský;Hættesaltator;Roodsnavelsaltator;kapuĉa saltatoro;piurankardinaali;Saltator à capuchon;Schwarzkopfsaltator;Saltatore monaco;クロズキンイカル;;hettesaltator;ziarnołusk kapturowy;bicudo-de-capuz-preto;saltador-de-capuz;Капюшоновый сальтатор;Kapuljačasti saltator;tanečník čiernohlavý;Pepitero capuchinegro;svarthuvad saltator;Kara Başlıklı Saltator;зернолуск еквадорський;;;;;;Saltator à capuchon;;;;;;;;;;;;;;
10895;PASSERIFORMES;Thraupidae;Saltator fuliginosus;Black-throated Grosbeak;dansaire negre;黑喉粗嘴雀;黑喉錫嘴雀;crnorepi sjemenar;saltator černohrdlý;Rødnæbbet Saltator;Dikbeksaltator;fulga saltatoro;nokikardinaali;Saltator fuligineux;Papageischnabelsaltator;Beccogrosso golanera;ノドグロクロイカル;juodagurklis didžiasnapis;sotsaltator;grubonos czarnogardły;bico-de-pimenta;saltador-de-garganta-preta;Крючкоклювый сальтатор;Crnogrli škriljasti saltator;tanečník tmavý;Pepitero fuliginoso;sotsaltator;İs Rengi Saltator;зернолуск бразильський;;;;;;Saltator fuligineux;;;papagájcsőrű szaltator;;;;;;;;;;;
10896;PASSERIFORMES;Thraupidae;Saltator grossus;Slate-colored Grosbeak;dansaire fumat;灰蓝粗嘴雀;鉛灰食籽雀;škriljasti sjemenar;saltator červenozobý;Hvidstrubet Saltator;Witkeelsaltator;ardeza saltatoro;valkokurkkukardinaali;Saltator ardoisé;Rotschnabelsaltator;Beccogrosso ardesia;ノドジロクロイカル;pilkasis didžiasnapis;skifersaltator;grubonos białogardły;bico-encarnado;saltador-de-garganta-branca;Сизый сальтатор;Belogrli škriljasti saltator;tanečník bielohrdlý;Pepitero pizarroso;vitstrupig saltator;Gri Renkli Saltator;зернолуск білогорлий;;;;;;Saltator ardoisé;;;vöröscsőrű szaltator;;;;;;;;;;;
10897;PASSERIFORMES;Thraupidae;Saltator cinctus;Masked Saltator;dansaire de collar;花脸舞雀;黑臉舞雀;škriljastoleđi sjemenar;saltator škraboškový;Maskesaltator;Maskersaltator;maska saltatoro;bambukardinaali;Saltator masqué;Maskensaltator;Saltatore mascherato;カオグロイカル;kaukėtasis saltatorius;bambussaltator;ziarnołusk maskowy;bicudo-mascarado;saltador-mascarado;Масковый сальтатор;Maskirani saltator;tanečník maskový;Pepitero enmascarado;svartmaskad saltator;Maskeli Saltator;зернолуск масковий;;;;;;Saltator masqué;;;álarcos szaltator;;;;;;;;;;;
10898;PASSERIFORMES;Thraupidae;Saltator maxillosus;Thick-billed Saltator;dansaire diademat;厚嘴舞雀;厚嘴舞雀;žućkastotrbi sjemenar;saltator tlustozobý;Tyknæbssaltator;Diksnavelsaltator;dikbeka saltatoro;ruskokardinaali;Saltator à bec épais;Dickschnabelsaltator;Saltatore beccogrosso;ハシブトイカル;storasnapis saltatorius;tykknebbsaltator;ziarnołusk grubodzioby;trinca-ferro-de-bico-grosso;saltador-de-bico-grosso;Толстоклювый сальтатор;Debelokljuni saltator;tanečník hrubozobý;Pepitero picudo;tjocknäbbad saltator;Kalın Gagalı Saltator;зернолуск товстодзьобий;;;;;;Saltator à bec épais;;;vastagcsőrű szaltator;;;;;;;;;;;
10899;PASSERIFORMES;Thraupidae;Saltator aurantiirostris;Golden-billed Saltator;dansaire orellut;金嘴舞雀;金嘴舞雀;zlatnokljuni sjemenar;saltator zlatozobý;Gulnæbbet Saltator;Goudsnavelsaltator;orbeka saltatoro;oranssinokkakardinaali;Saltator à bec orange;Goldschnabelsaltator;Saltatore beccodorato;キバシイカル;auksasnapis saltatorius;oransjenebbsaltator;ziarnołusk złotodzioby;bico-duro-patetão;saltador-de-bico-dourado;Золотоклювый сальтатор;Zlatokljuni saltator;tanečník zlatozobý;Pepitero piquigualdo;orangenäbbad saltator;Sarı Gagalı Saltator;зернолуск золотодзьобий;;;;;;Saltator à bec orange;;;aranycsőrű szaltator;;;;;;;;;;;
